sms_data_id,user_id,sms_id,body,creator,date,body_translated,Amount,Merchant,Balance,Is Relevant,amount,balance,merchant
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8212.0,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 30.0. Not you, contact 18001035485",com.samsung.android.messaging,2024-12-20T04:56:38.556Z,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 30.0. Not you, contact 18001035485",,,,True,6,,your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8211.0,आपके Jio नंबर 9653181533  के प्लान की वैधता जल्द ही समाप्त हो जाएगी| सेवाओं के बंद होने से बचें । अभी रिचार्ज करें । क्लिक करें www.jio.com/r/QIT0d5TTY अन्य प्लान के लिये 1991 पर कॉल करें ।,com.samsung.android.messaging,2024-12-20T03:50:29.256Z,The validity of your JIO number 9653181533 will be terminated soon.Avoid the closure of services.Recharge now.Click www.jio.com/R/QIT0D5TTY call 1991 for other plans.,,,,True,,,
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8209.0,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 36.0. Not you, contact 18001035485",com.samsung.android.messaging,2024-12-20T02:19:05.210Z,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 36.0. Not you, contact 18001035485",,,,True,6,,your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8208.0,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 42.0. Not you, contact 18001035485",com.samsung.android.messaging,2024-12-19T21:36:28.502Z,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 42.0. Not you, contact 18001035485",,,,True,6,,your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8207.0,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 48.0. Not you, contact 18001035485",com.samsung.android.messaging,2024-12-19T19:08:07.467Z,"INR 6 debited from your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal: INR 48.0. Not you, contact 18001035485",,,,True,6,,your YES BANK prepaid card on BEST YPP COLLECTION ACCOUNT Bal
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8200.0,आपके Jio नंबर 9653181533  के प्लान की वैधता जल्द ही समाप्त हो जाएगी| सेवाओं के बंद होने से बचें । अभी रिचार्ज करें । क्लिक करें www.jio.com/r/QIuejFHZG अन्य प्लान के लिये 1991 पर कॉल करें ।,com.samsung.android.messaging,2024-12-19T03:45:56.275Z,The validity of your JIO number 9653181533 will be terminated soon.Avoid the closure of services.Recharge now.Click www.jio.com/R/QIUEJFHZG Call 1991 for other plans.,,,,True,,,
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8198.0,"19-Dec-24 00:25 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है । 
Jio नंबर : 9653181533 
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB 
अपने Jio अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://www.youtube.com/watch?v=s-5cAGH5N9Q
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्ष क रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",com.samsung.android.messaging,2024-12-18T18:55:11.843Z,"19-dec-24 00:25 pm 50% daily data quota has been spent.
JIO Number: 9653181533
Total daily data according to the plan: 1.50 GB
Click to learn more about how to manage your Jio account https://www.youtube.com/watch?v=S-5cagh5n9q
Dial 1991 to know about the current balance, validity, plan details and recharge plan of attraction.",,,,True,,,the plan
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8197.0,"19-Dec-24 00:25 पर्यंत 50% डेटा कोटा वापरला गेला आहे. 
जियो नंबर : 9653181533 
प्लॅननुसार दररोजच्या डेटा कोटा: 1.50 GB 
आपले खाते MyJio अ‍ॅप द्वारे मॅनेज करण्यासाठी, https://www.youtube.com/watch?v=ZZkwLDJ0NLA क्लिक करा. 
आपल्या वर्तमान बॅलन्स, वैधता, प्लॅनची माहिती आणि आकर्षक रिचार्ज प्लॅनसच्या माहितीकरीता १९९१ डायल करा.",com.samsung.android.messaging,2024-12-18T18:55:10.827Z,"50% data quota has been used for 19-DeC-24 00:25.
Geo Number: 96531815333
Daily data quota according to the plan: 1.50 GB
To manage your account via myjio app, click https://www.youtube.com/watch?v=ZZKWLDJ0nla.
Dial 1949 for your current balance, validity, plan information and attractive recharge planns.",,,,True,,,the plan
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8196.0,"Usage Alert!
50% of daily data used as on 19-Dec-24 00:25 !
Jio Number : 9653181533 
Daily Data quota as per plan : 1.50 GB 
For data saving tips, watch this video : https://youtu.be/ZFUDydctV78",com.samsung.android.messaging,2024-12-18T18:55:07.374Z,"Usage Alert!
50% of daily data used as on 19-Dec-24 00:25 !
Jio Number : 9653181533
Daily Data quota as per plan : 1.50 GB
For data saving tips, watch this video : https://youtu.be/ZFUDydctV78",,,,True,,,
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8195.0,Rs.40 transferred from A/c ...7472 to:UPI/389516618595. Total Bal:Rs.36137.68CR. Avlbl Amt:Rs.36137.68(18-12-2024 19:40:21) - Bank of Baroda,com.samsung.android.messaging,2024-12-18T14:29:07.448Z,Rs.40 transferred from A/c ...7472 to:UPI/389516618595. Total Bal:Rs.36137.68CR. Avlbl Amt:Rs.36137.68(18-12-2024 19:40:21) - Bank of Baroda,,,,True,40,,A
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8191.0,Rs.10000 transferred from A/c ...7472 to:UPI/979302780588. Total Bal:Rs.36177.68CR. Avlbl Amt:Rs.36177.68(18-12-2024 10:49:12) - Bank of Baroda,com.samsung.android.messaging,2024-12-18T05:39:59.308Z,Rs.10000 transferred from A/c ...7472 to:UPI/979302780588. Total Bal:Rs.36177.68CR. Avlbl Amt:Rs.36177.68(18-12-2024 10:49:12) - Bank of Baroda,,,,True,10000,,A
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8188.0,"18-Dec-24 00:30 बजे तक 50% दैनिक डेटा कोटा खर्च हो चुका है । 
Jio नंबर : 9653181533 
प्लान के अनुसार कुल दैनिक डेटा : 1.50 GB 
अपने Jio अकाउंट को कैसे मैनेज करें के बारे में अधिक जानने के लिए क्लिक करें https://www.youtube.com/watch?v=s-5cAGH5N9Q
वर्तमान बैलेंस, वैधता, प्लान विवरण और आकर्ष क रीचार्ज प्लान के बारे में जानने के लिए 1991 डायल करें ।",com.samsung.android.messaging,2024-12-17T19:00:30.177Z,"50% daily data quota has been spent by 18-dec-24 00:30 pm.
JIO Number: 9653181533
Total daily data according to the plan: 1.50 GB
Click to learn more about how to manage your Jio account https://www.youtube.com/watch?v=S-5cagh5n9q
Dial 1991 to know about the current balance, validity, plan details and recharge plan of attraction.",,,,True,,,the plan
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8187.0,"18-Dec-24 00:30 पर्यंत 50% डेटा कोटा वापरला गेला आहे. 
जियो नंबर : 9653181533 
प्लॅननुसार दररोजच्या डेटा कोटा: 1.50 GB 
आपले खाते MyJio अ‍ॅप द्वारे मॅनेज करण्यासाठी, https://www.youtube.com/watch?v=ZZkwLDJ0NLA क्लिक करा. 
आपल्या वर्तमान बॅलन्स, वैधता, प्लॅनची माहिती आणि आकर्षक रिचार्ज प्लॅनसच्या माहितीकरीता १९९१ डायल करा.",com.samsung.android.messaging,2024-12-17T19:00:29.278Z,"By 18-DeC-24 00:30, 50% data quota has been used.
Geo Number: 96531815333
Daily data quota according to the plan: 1.50 GB
To manage your account via myjio app, click https://www.youtube.com/watch?v=ZZKWLDJ0nla.
Dial 1949 for your current balance, validity, plan information and attractive recharge planns.",,,,True,,,the plan
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8186.0,"Usage Alert!
50% of daily data used as on 18-Dec-24 00:30 !
Jio Number : 9653181533 
Daily Data quota as per plan : 1.50 GB 
For data saving tips, watch this video : https://youtu.be/ZFUDydctV78",com.samsung.android.messaging,2024-12-17T19:00:24.249Z,"Usage Alert!
50% of daily data used as on 18-Dec-24 00:30 !
Jio Number : 9653181533
Daily Data quota as per plan : 1.50 GB
For data saving tips, watch this video : https://youtu.be/ZFUDydctV78",,,,True,,,
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8185.0,Rs.30 transferred from A/c ...7472 to:UPI/665166688829. Total Bal:Rs.46177.68CR. Avlbl Amt:Rs.46177.68(17-12-2024 21:24:23) - Bank of Baroda,com.samsung.android.messaging,2024-12-17T16:08:46.635Z,Rs.30 transferred from A/c ...7472 to:UPI/665166688829. Total Bal:Rs.46177.68CR. Avlbl Amt:Rs.46177.68(17-12-2024 21:24:23) - Bank of Baroda,,,,True,30,,A
624b68b4-3d96-4763-8fca-8cfbafdd945a,64,8181.0,G-725832 is your Google verification code.,com.samsung.android.messaging,2024-12-17T10:00:25.536Z,G-725832 is your Google verification code.,,,,True,,,
04a949b0-bb07-43da-8d75-de9e7907104c,62,1802.0,"Introducing New ISD minute packs for USA, Canada, Australia, New Zealand, UAE, Saudi Arabia and other popular countries. Packs starting at just Rs. 39. Applicable on prepaid & postpaid Jio numbers. To know more about ISD packs and to Recharge Visit: www.jio.com/r/Aiza1PNzO",com.google.android.apps.messaging,2024-12-20T07:48:00.277Z,"Introducing New ISD minute packs for USA, Canada, Australia, New Zealand, UAE, Saudi Arabia and other popular countries. Packs starting at just Rs. 39. Applicable on prepaid & postpaid Jio numbers. To know more about ISD packs and to Recharge Visit: www.jio.com/r/Aiza1PNzO",,just Rs,,True,39,,just Rs. 39. Applicable on prepaid & postpaid Jio numbers. To know more about ISD packs and to Recharge Visit
04a949b0-bb07-43da-8d75-de9e7907104c,62,1801.0,"Sent Rs.20.00 from Kotak Bank AC X8250 to mmmocl.zkp@icici on 20-12-24.UPI Ref 435555649003. Not you, https://kotak.com/KBANKT/Fraud",com.google.android.apps.messaging,2024-12-20T07:36:19.613Z,"Sent Rs.20.00 from Kotak Bank AC X8250 to mmmocl.zkp@icici on 20-12-24.UPI Ref 435555649003. Not you, https://kotak.com/KBANKT/Fraud",,,,True,20.00,,Kotak Bank AC X8250 to mmmocl.zkp
04a949b0-bb07-43da-8d75-de9e7907104c,62,1800.0,"ANGEL ONE LIMITED on 14-12-24 reported your Fund bal Rs.0.79 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",com.google.android.apps.messaging,2024-12-19T21:05:20.426Z,"ANGEL ONE LIMITED on 14-12-24 reported your Fund bal Rs.0.79 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",,,,True,0.79,,the broker-NSE
04a949b0-bb07-43da-8d75-de9e7907104c,62,1799.0,"Sent Rs.200.00 from Kotak Bank AC X8250 to q498783614@ybl on 19-12-24.UPI Ref 435449683166. Not you, https://kotak.com/KBANKT/Fraud",com.google.android.apps.messaging,2024-12-19T14:13:20.484Z,"Sent Rs.200.00 from Kotak Bank AC X8250 to q498783614@ybl on 19-12-24.UPI Ref 435449683166. Not you, https://kotak.com/KBANKT/Fraud",,,,True,200.00,,Kotak Bank AC X8250 to q498783614
04a949b0-bb07-43da-8d75-de9e7907104c,62,1798.0,"Sent Rs.20.00 from Kotak Bank AC X8250 to mmmocl.zkp@icici on 19-12-24.UPI Ref 435448440417. Not you, https://kotak.com/KBANKT/Fraud",com.google.android.apps.messaging,2024-12-19T12:49:36.210Z,"Sent Rs.20.00 from Kotak Bank AC X8250 to mmmocl.zkp@icici on 19-12-24.UPI Ref 435448440417. Not you, https://kotak.com/KBANKT/Fraud",,,,True,20.00,,Kotak Bank AC X8250 to mmmocl.zkp
04a949b0-bb07-43da-8d75-de9e7907104c,62,1796.0,"Sent Rs.250.00 from Kotak Bank AC X8250 to nathan@superyes on 19-12-24.UPI Ref 435446484786. Not you, https://kotak.com/KBANKT/Fraud",com.google.android.apps.messaging,2024-12-19T09:40:42.494Z,"Sent Rs.250.00 from Kotak Bank AC X8250 to nathan@superyes on 19-12-24.UPI Ref 435446484786. Not you, https://kotak.com/KBANKT/Fraud",,,,True,250.00,,Kotak Bank AC X8250 to nathan
04a949b0-bb07-43da-8d75-de9e7907104c,62,1795.0,"Sent Rs.20.00 from Kotak Bank AC X8250 to mmmocl.zkp@icici on 19-12-24.UPI Ref 435443827272. Not you, https://kotak.com/KBANKT/Fraud",com.google.android.apps.messaging,2024-12-19T05:30:45.257Z,"Sent Rs.20.00 from Kotak Bank AC X8250 to mmmocl.zkp@icici on 19-12-24.UPI Ref 435443827272. Not you, https://kotak.com/KBANKT/Fraud",,,,True,20.00,,Kotak Bank AC X8250 to mmmocl.zkp
04a949b0-bb07-43da-8d75-de9e7907104c,62,1794.0,"Sent Rs.16.00 from Kotak Bank AC X8250 to q571876807@ybl on 19-12-24.UPI Ref 435443007563. Not you, https://kotak.com/KBANKT/Fraud",com.google.android.apps.messaging,2024-12-19T04:13:28.878Z,"Sent Rs.16.00 from Kotak Bank AC X8250 to q571876807@ybl on 19-12-24.UPI Ref 435443007563. Not you, https://kotak.com/KBANKT/Fraud",,,,True,16.00,,Kotak Bank AC X8250 to q571876807
